,ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
0,36003,Autauga County,AL,1001,H1
1,36006,Autauga County,AL,1001,H1
2,36067,Autauga County,AL,1001,H1
3,36066,Autauga County,AL,1001,H1
4,36703,Autauga County,AL,1001,H1
5,36701,Autauga County,AL,1001,H1
6,36091,Autauga County,AL,1001,H1
7,36051,Autauga County,AL,1001,H1
8,36068,Autauga County,AL,1001,H1
9,36008,Autauga County,AL,1001,H1
10,36022,Autauga County,AL,1001,H1
11,36749,Autauga County,AL,1001,H1
12,36758,Autauga County,AL,1001,H1
13,36550,Baldwin County,AL,1003,H1
14,36551,Baldwin County,AL,1003,H1
15,36527,Baldwin County,AL,1003,H1
16,36577,Baldwin County,AL,1003,H1
17,36559,Baldwin County,AL,1003,H1
18,36536,Baldwin County,AL,1003,H1
19,36576,Baldwin County,AL,1003,H1
20,36579,Baldwin County,AL,1003,H1
21,36502,Baldwin County,AL,1003,H1
22,36578,Baldwin County,AL,1003,H1
23,36533,Baldwin County,AL,1003,H1
24,36564,Baldwin County,AL,1003,H1
25,36561,Baldwin County,AL,1003,H1
26,36580,Baldwin County,AL,1003,H1
27,36535,Baldwin County,AL,1003,H1
28,36547,Baldwin County,AL,1003,H1
29,36549,Baldwin County,AL,1003,H1
30,36530,Baldwin County,AL,1003,H1
31,36562,Baldwin County,AL,1003,H1
32,36532,Baldwin County,AL,1003,H1
33,36526,Baldwin County,AL,1003,H1
34,36555,Baldwin County,AL,1003,H1
35,36511,Baldwin County,AL,1003,H1
36,36567,Baldwin County,AL,1003,H1
37,36574,Baldwin County,AL,1003,H1
38,36480,Baldwin County,AL,1003,H1
39,36507,Baldwin County,AL,1003,H1
40,36542,Baldwin County,AL,1003,H1
41,36017,Barbour County,AL,1005,H1
42,36016,Barbour County,AL,1005,H1
43,36311,Barbour County,AL,1005,H1
44,36374,Barbour County,AL,1005,H1
45,36048,Barbour County,AL,1005,H1
46,36053,Barbour County,AL,1005,H1
47,36317,Barbour County,AL,1005,H1
