state,r_his,r_whi,r_bla,r_asi,r_oth
AL,0.003432171,0.016176834,0.032452235,0.003638587,0.010353064
AK,0.000878766,0.002271235,0.000528089,0.002698301,0.049015412
AZ,0.03742256,0.019447171,0.007236032,0.012545107,0.127960499
AR,0.003802527,0.011016067,0.011350726,0.002587967,0.007878659
CA,0.263013132,0.074088861,0.053931247,0.315557478,0.068936519
CO,0.020506428,0.019373247,0.005469779,0.009787639,0.014964837
CT,0.009836381,0.012133165,0.008829394,0.009031411,0.003489713
DE,0.001521595,0.003030724,0.005150563,0.002133574,0.001092691
DC,0.001300442,0.001284516,0.007842218,0.00155868,0.000733744
FL,0.091269547,0.057218782,0.080350977,0.032118941,0.019883813
GA,0.017018484,0.02781277,0.080872263,0.022670583,0.00854714
HI,0.002551145,0.001574289,0.000563898,0.029604753,0.000773368
ID,0.003630128,0.007133338,0.000272791,0.001261011,0.008920538
IL,0.037503347,0.039710388,0.044618245,0.03831705,0.005959457
IN,0.007844492,0.026757126,0.015277504,0.008145125,0.004519006
IA,0.003156469,0.013692107,0.00259133,0.004496538,0.003647743
KS,0.005871414,0.011205802,0.00401569,0.004743707,0.008212433
KY,0.002636758,0.019109365,0.008866997,0.003576753,0.003208149
LA,0.004139949,0.01388389,0.03752819,0.004664429,0.010228598
ME,0.00037214,0.006321255,0.000392753,0.000841174,0.003834209
MD,0.010412052,0.015541693,0.04427386,0.021627796,0.005537577
MA,0.013786666,0.024870411,0.011907572,0.025017492,0.004400134
MI,0.008571472,0.037897085,0.033871861,0.017021035,0.021173692
MN,0.005041385,0.022581805,0.008894907,0.015123907,0.025020954
MS,0.001462033,0.008558407,0.028166819,0.001525957,0.006172028
MO,0.004346981,0.024608136,0.017300699,0.006846003,0.009944237
MT,0.000661607,0.004593457,0.000109146,0.000399003,0.028960983
NE,0.003567218,0.007692589,0.002171639,0.002602078,0.005977637
NV,0.014693625,0.007412117,0.006615367,0.013879785,0.013048432
NH,0.000856352,0.006147395,0.00044912,0.001977906,0.000699248
NJ,0.031275343,0.02503725,0.028615316,0.049003975,0.004229984
NM,0.017305198,0.003957154,0.00094748,0.001528569,0.085304047
NY,0.064773227,0.055435369,0.070932217,0.095497928,0.019463332
NC,0.016355637,0.032809871,0.054214779,0.016280695,0.051892118
ND,0.00044997,0.003230303,0.000568907,0.000705506,0.018993903
OH,0.007422102,0.046655167,0.035411024,0.014246622,0.008328509
OK,0.007098308,0.013061988,0.007053847,0.004689151,0.134525971
OR,0.009192176,0.015879306,0.001852623,0.010002419,0.018112851
PA,0.015947148,0.049577672,0.034084946,0.024579377,0.006758464
RI,0.002775815,0.003870893,0.001425282,0.002099907,0.001460962
SC,0.004859962,0.016209082,0.033509959,0.004160536,0.005766464
SD,0.000531522,0.003628894,0.000407305,0.000589561,0.03475868
TN,0.006138092,0.02515255,0.027789641,0.006572945,0.006385998
TX,0.189625898,0.060091136,0.082986239,0.074720806,0.033498169
UT,0.007380094,0.012309565,0.000889344,0.004140591,0.014018988
VT,0.000202766,0.002933347,0.000192651,0.000615172,0.000918812
VA,0.013436091,0.026492306,0.039747201,0.029965923,0.009588087
WA,0.01598732,0.025734839,0.006534106,0.034774686,0.035211793
WV,0.00038757,0.008467483,0.001778189,0.00076084,0.001114601
WI,0.006760801,0.023855388,0.009028599,0.008810242,0.020820805
WY,0.000987694,0.002466409,0.000128434,0.00025478,0.005752945
